Date,AAPL_Price,MSFT_Price,NVDA_Price,TSLA_Price,JPM_Price,BAC_Price,PFE_Price,XOM_Price,WMT_Price,VZ_Price,^GSPC_Price,AAPL_Return,MSFT_Return,NVDA_Return,TSLA_Return,JPM_Return,BAC_Return,PFE_Return,XOM_Return,WMT_Return,VZ_Return,^GSPC_Return,AAPL_MA20,AAPL_MA50,AAPL_Volatility20,AAPL_CumulativeReturn,MSFT_MA20,MSFT_MA50,MSFT_Volatility20,MSFT_CumulativeReturn,NVDA_MA20,NVDA_MA50,NVDA_Volatility20,NVDA_CumulativeReturn,TSLA_MA20,TSLA_MA50,TSLA_Volatility20,TSLA_CumulativeReturn,JPM_MA20,JPM_MA50,JPM_Volatility20,JPM_CumulativeReturn,BAC_MA20,BAC_MA50,BAC_Volatility20,BAC_CumulativeReturn,PFE_MA20,PFE_MA50,PFE_Volatility20,PFE_CumulativeReturn,XOM_MA20,XOM_MA50,XOM_Volatility20,XOM_CumulativeReturn,WMT_MA20,WMT_MA50,WMT_Volatility20,WMT_CumulativeReturn,VZ_MA20,VZ_MA50,VZ_Volatility20,VZ_CumulativeReturn,^GSPC_MA20,^GSPC_MA50,^GSPC_Volatility20,^GSPC_CumulativeReturn
2020-01-03,71.63064575195312,149.93902587890625,5.868346691131592,29.53400039672852,116.8674774169922,29.79763984680176,26.903240203857425,52.52135848999024,35.96958923339844,41.53187561035156,3234.85009765625,-0.0097219211797979,-0.0124517816191125,-0.0160061514332289,0.0296332582979208,-0.0131961836762815,-0.0207630848961014,-0.0053653681973082,-0.0080394134070482,-0.0088277415193553,-0.0106470109447075,-0.0070598705620453,,,,-0.9721921179797866,,,,-1.2451781619112534,,,,-1.6006151433228921,,,,2.963325829792085,,,,-1.3196183676281503,,,,-2.0763084896101347,,,,-0.5365368197308151,,,,-0.8039413407048168,,,,-0.8827741519355281,,,,-1.0647010944707547,,,,-0.7059870562045267
2020-01-06,72.20140838623047,150.3265838623047,5.892956733703613,30.1026668548584,116.7745132446289,29.754959106445312,26.868688583374023,52.92462921142578,35.896366119384766,41.44247817993164,3246.280029296875,0.0079681347038782,0.0025847705834198,0.0041936926816563,0.0192546370451349,-0.000795466578196,-0.0014323530513115,-0.0012842921604085,0.0076782233557877,-0.0020356950294467,-0.0021525016413571,0.0035333728907271,,,,-0.18312520534606858,,,,-0.9899196034532931,,,,-1.1879583631699608,,,,4.9458472976047,,,,-1.3981153131403246,,,,-2.2165697879407253,,,,-0.664276965740318,,,,-0.042291846304931546,,,,-1.0845465959269718,,,,-1.2776594877530578,,,,-0.3551442826574047
2020-01-07,71.8618392944336,148.95594787597656,5.964301109313965,31.270666122436523,114.789306640625,29.55857276916504,26.77884292602539,52.49149703979492,35.56378555297852,40.981781005859375,3237.179931640625,-0.0047030812748194,-0.0091177219032901,0.0121067197392288,0.0388005246581539,-0.0170003415029881,-0.0066001212294636,-0.0033438795149915,-0.008183943432094,-0.0092650204563922,-0.0111165450114263,-0.0028032386528962,,,,-0.6525720801037971,,,,-1.892665982131403,,,,0.008331331788147267,,,,9.017801233446265,,,,-3.074381025655193,,,,-2.86195228157311,,,,-0.9964436551014422,,,,-0.8603400754365387,,,,-2.00100029516902,,,,-2.3751108296908074,,,,-0.6344725937665219
2020-01-08,73.01782989501953,151.32855224609375,5.975486755371094,32.80933380126953,115.684814453125,29.857406616210938,26.993078231811523,51.69990158081055,35.44174575805664,41.05741500854492,3253.050048828125,0.0160862929746286,0.0159282284725728,0.0018754328214014,0.0492048257881216,0.0078013173762221,0.0101098875571432,0.0080001703724819,-0.0150804511897278,-0.003431574930067,0.0018455518727877,0.0049024513689781,,,,0.9455597516914604,,,,-0.3299899510597726,,,,0.19589023878137102,,,,14.382003150942069,,,,-2.3182335101495477,,,,-1.879897541619402,,,,-0.204398336860645,,,,-2.3554108778951255,,,,-2.337291205727754,,,,-2.1949390326518436,,,,-0.14733792790460054
2020-01-09,74.56880187988281,153.21910095214844,6.04111385345459,32.089332580566406,116.10716247558594,29.908641815185547,26.87560272216797,52.09569549560547,35.80788803100586,40.887203216552734,3274.699951171875,0.0212410035616392,0.0124930072877471,0.0109827200310512,-0.0219450119000973,0.0036508510166826,0.0017159962897377,-0.0043520605036112,0.0076556028675658,0.010330819352091,-0.0041457016219058,0.0066552626054889,,,,3.089744745908818,,,,0.9151882108514808,,,,1.2963136495358407,,,,11.87188873063767,,,,-1.9616119336487214,,,,-1.7115238098521335,,,,-0.6387148332929193,,,,-1.6078826814096558,,,,-1.3283554037382572,,,,-2.6004096325347725,,,,0.5172077600423375
2020-01-10,74.73735809326172,152.5101318359375,6.073429584503174,31.87666702270508,114.94984436035156,29.661027908325195,27.29023551940918,51.63268661499024,35.50886917114258,40.98446273803711,3265.35009765625,0.0022604119836928,-0.0046271588320594,0.0053493001179085,-0.0066272976331741,-0.0099676720243484,-0.0082790087356835,0.0154278511082175,-0.0088876609902306,-0.008350642171478,0.0023787276661906,-0.0028551786896625,,,,3.3227700403283045,,,,0.44823760643268873,,,,1.8381780320850138,,,,11.130480427234414,,,,-2.9388264316899115,,,,-2.5252549628473897,,,,0.8942162801801823,,,,-2.482358464248291,,,,-2.15232700023289,,,,-2.3687225322520433,,,,0.23021317050149204
2020-01-13,76.33409118652344,154.34396362304688,6.263845920562744,34.990665435791016,115.9043960571289,29.93424797058105,27.23495483398437,52.12556838989258,35.356319427490234,41.09563827514648,3288.1298828125,0.0213645910692912,0.0120243275973435,0.0313523575782341,0.0976889588509331,0.0083040712415838,0.0092114158383287,-0.0020256580558086,0.0095459254053078,-0.0042961025572821,0.0027126264365102,0.0069762152525698,,,,5.53021877038633,,,,1.6560601219882454,,,,5.031045004862822,,,,21.98670135677494,,,,-2.132823531586936,,,,-1.6273745525751115,,,,0.6898390981877389,,,,-1.5514623324464516,,,,-2.5726906384312853,,,,-2.103885347962764,,,,0.9294407123898729
2020-01-14,75.30333709716797,153.25689697265625,6.147010803222656,35.861331939697266,117.2560577392578,30.156238555908203,27.69105339050293,51.67749786376953,35.447853088378906,41.01920700073242,3283.14990234375,-0.0135031946189915,-0.0070431432812335,-0.0186522974577879,0.0248828221202008,0.0116618672639703,0.0074159399476252,0.0167468078907708,-0.0085959835060509,0.0025888911054894,-0.0018598390880882,-0.0015145327728022,,,,4.105223688145054,,,,0.94008192514341,,,,3.07197471112981,,,,25.022074747665645,,,,-0.9915095101127425,,,,-0.8978490697667763,,,,2.376072490117709,,,,-2.3977243384315727,,,,-2.3204619437933505,,,,-2.28595636856459,,,,0.7765797666903662
2020-01-15,74.98062896728516,154.24942016601562,6.104503154754639,34.56666564941406,115.49894714355467,29.601261138916016,28.105690002441406,51.59535598754883,35.17325210571289,41.06089401245117,3289.2900390625,-0.0042854426154634,0.0064762057236253,-0.0069151738672286,-0.0361020135130578,-0.0149852436588855,-0.0184034031951062,0.0149736669851889,-0.0015895095470226,-0.0077466181656016,0.0010162802932296,0.0018701968845122,,,,3.659086726059524,,,,1.593790661450245,,,,2.359214085163752,,,,20.508526115694913,,,,-2.475175864402157,,,,-2.7216659108381336,,,,3.909017706836293,,,,-2.55286408740677,,,,-3.077148027707133,,,,-2.186651511650184,,,,0.9650518122018337
2020-01-16,75.91986846923828,157.07579040527344,6.188028335571289,34.232666015625,115.94666290283205,29.64395523071289,28.06422996520996,51.39372253417969,35.362422943115234,41.456912994384766,3316.81005859375,0.0125264286908413,0.018323376750563,0.0136825518308716,-0.0096624776360147,0.0038763622556741,0.0014423065151352,-0.0014751474604552,-0.003907976784147,0.0053782583661525,0.0096446750967844,0.0083665530264682,,,,4.957564884091248,,,,3.455331963257824,,,,3.7597493372512947,,,,19.344115177152908,,,,-2.097134317131666,,,,-2.5813607357998314,,,,3.7557365832476597,,,,-2.933685232234806,,,,-2.555871888215777,,,,-1.2432735453514976,,,,1.8097812720087258
2020-01-17,76.76036834716797,157.95494079589844,6.196727752685547,34.03333282470703,116.7492218017578,29.63541603088379,27.9951229095459,51.199554443359375,35.07561492919922,41.7765007019043,3329.6201171875,0.0110708816397679,0.0055969821215395,0.0014058463605037,-0.0058228941569139,0.0069217938561829,-0.0002880587209986,-0.0024624604255927,-0.0037780507277164,-0.0081105306154326,0.0077089123245335,0.0038621622485013,,,,6.119537662121299,,,,4.034369606634125,,,,3.9056196032238644,,,,18.6491870262258,,,,-1.4194708629452824,,,,-2.609423024427704,,,,3.5002421879831935,,,,-3.300406693379909,,,,-3.3461954725605425,,,,-0.4819665996546707,,,,2.2029871657656575
2020-01-21,76.24018096923828,157.38778686523438,6.163416862487793,36.47999954223633,115.60028839111328,29.251209259033203,27.87763786315918,50.46771240234375,35.267826080322266,41.90851593017578,3320.7900390625,-0.0067767702152888,-0.0035906058259799,-0.0053755613490228,0.0718903061927893,-0.0098410369929097,-0.0129644467096461,-0.0041966254896012,-0.0142939142532039,0.0054799082357082,0.003160035571516,-0.0026519776473655,,,,5.400389940032424,,,,3.660823193022389,,,,3.347068570538503,,,,27.17891341106671,,,,-2.3896054969636538,,,,-3.8720379696492,,,,3.065890433437213,,,,-4.682622388424429,,,,-2.8165414931180965,,,,-0.16748607410226324,,,,1.9319471283080647
2020-01-22,76.51231384277344,156.63150024414062,6.217361927032471,37.97066879272461,115.4651336669922,29.336593627929688,27.77398109436035,50.17646026611328,35.42343521118164,42.019676208496094,3321.75,0.0035694153670091,-0.0048052433810593,0.0087524608100097,0.0408626444406172,-0.0011691555964272,0.0029190030449806,-0.0037182766096481,-0.0057710588090167,0.004412212153507,0.0026524508409107,0.000289076071118,,,,5.776607711573134,,,,3.1627077084989574,,,,4.2516097380315365,,,,32.37578013012718,,,,-2.5037272359663465,,,,-3.5914401557748277,,,,2.6826629437860072,,,,-5.232704580142089,,,,-2.3877474563741785,,,,0.09731476141070505,,,,1.9614132151053232
