Date,AAPL,MSFT,NVDA,TSLA,JPM,BAC,PFE,XOM,WMT,VZ,^GSPC
2020-01-02,72.33385467529297,152.1583251953125,5.970754146575928,28.68400001525879,118.43035125732422,30.587556838989258,27.048362731933594,52.94704055786133,36.28995132446289,41.978824615478516,3257.85009765625
2020-01-03,71.63064575195312,150.26373291015625,5.875185489654541,29.534000396728516,116.86746978759766,29.95246696472168,26.90323829650879,52.521358489990234,35.96959686279297,41.53186798095703,3234.85009765625
2020-01-06,72.20140075683594,150.65213012695312,5.899825096130371,30.1026668548584,116.77455139160156,29.909547805786133,26.868684768676758,52.92462921142578,35.8963623046875,41.44248580932617,3246.280029296875
2020-01-07,71.86183166503906,149.27854919433594,5.97125244140625,31.270666122436523,114.789306640625,29.712158203125,26.77884864807129,52.49148941040039,35.563785552978516,40.98177719116211,3237.179931640625
2020-01-08,73.017822265625,151.65631103515625,5.982451915740967,32.80933380126953,115.68476867675781,30.012540817260742,26.993074417114258,51.69990921020508,35.44175720214844,41.05742263793945,3253.050048828125
2020-01-09,74.56879425048828,153.5509796142578,6.048153877258301,32.089332580566406,116.10719299316406,30.064035415649414,26.875591278076172,52.095703125,35.8078727722168,40.8871955871582,3274.699951171875
2020-01-10,74.73735809326172,152.84043884277344,6.080508232116699,31.876667022705078,114.94983673095703,29.815141677856445,27.290239334106445,51.6326904296875,35.50887680053711,40.98445510864258,3265.35009765625
2020-01-13,76.33409118652344,154.67828369140625,6.271145343780518,34.990665435791016,115.90440368652344,30.08978271484375,27.234952926635742,52.12556838989258,35.35631561279297,41.09563446044922,3288.1298828125
2020-01-14,75.30331420898438,153.5888214111328,6.154176235198975,35.861331939697266,117.2560806274414,30.312931060791016,27.691057205200195,51.677494049072266,35.447845458984375,41.019195556640625,3283.14990234375
2020-01-15,74.98062133789062,154.58352661132812,6.111617565155029,34.56666564941406,115.49890899658203,29.755067825317383,28.105695724487305,51.595359802246094,35.173248291015625,41.06089401245117,3289.2900390625
2020-01-16,75.91985321044922,157.416015625,6.1952385902404785,34.232666015625,115.94666290283203,29.79798698425293,28.064233779907227,51.39372253417969,35.36241912841797,41.45691680908203,3316.81005859375
2020-01-17,76.76036071777344,158.29702758789062,6.203949928283691,34.03333282470703,116.74919891357422,29.78939437866211,27.995128631591797,51.199546813964844,35.07561492919922,41.77650833129883,3329.6201171875
2020-01-21,76.24018096923828,157.7286376953125,6.170600891113281,36.47999954223633,115.60027313232422,29.403196334838867,27.877643585205078,50.467708587646484,35.267818450927734,41.90850830078125,3320.7900390625
2020-01-22,76.5123291015625,156.97076416015625,6.224607467651367,37.97066879272461,115.46511840820312,29.4890193939209,27.773984909057617,50.17646026611328,35.42343521118164,42.019676208496094,3321.75
2020-01-23,76.88079071044922,157.93707275390625,6.293047904968262,38.14666748046875,115.34685516357422,29.28304672241211,28.13333511352539,49.86281204223633,35.334957122802734,42.04051971435547,3325.5400390625
2020-01-24,76.65922546386719,156.34556579589844,6.233814716339111,37.654666900634766,112.4830322265625,28.785259246826172,27.518291473388672,49.52675247192383,34.895591735839844,41.88072204589844,3295.469970703125
2020-01-27,74.40502166748047,153.73097229003906,5.977971076965332,37.201332092285156,111.53688049316406,28.19307518005371,27.753250122070312,48.346839904785156,35.3502082824707,41.6236572265625,3243.6298828125
2020-01-28,76.50990295410156,156.743408203125,6.171346664428711,37.793331146240234,113.56436157226562,28.527793884277344,26.3572998046875,48.27962112426758,35.57600021362305,42.17251968383789,3276.239990234375
2020-01-29,78.11141967773438,159.1875,6.110870361328125,38.732666015625,113.39540100097656,28.330394744873047,25.97029685974121,47.87636184692383,35.35935592651367,41.359642028808594,3273.39990234375
2020-01-30,77.99823760986328,163.6777801513672,6.11759090423584,42.72066879272461,114.79774475097656,28.7337646484375,25.879541397094727,48.38418197631836,35.56990051269531,41.24153518676758,3283.659912109375
2020-01-31,74.5399169921875,161.26211547851562,5.884146690368652,43.371334075927734,111.815673828125,28.17591667175293,25.998228073120117,46.3902587890625,34.932220458984375,41.297115325927734,3225.52001953125
2020-02-03,74.33519744873047,165.19351196289062,5.981206893920898,52.0,112.66889953613281,28.29606819152832,26.18671989440918,45.352237701416016,34.86508560180664,40.33137893676758,3248.919921875
2020-02-04,76.78927612304688,170.631103515625,6.150440692901611,59.137332916259766,114.2908935546875,28.853919982910156,26.31238555908203,44.78467559814453,35.17020797729492,40.49812698364258,3297.590087890625
