Date,AAPL,MSFT,NVDA,TSLA,JPM,BAC,PFE,XOM,WMT,VZ,^GSPC
2020-01-02,72.33386993408203,151.82957458496094,5.963804244995117,28.68400001525879,118.43030548095705,30.4294490814209,27.048364639282227,52.947021484375,36.289947509765625,41.97882461547852,3257.85009765625
2020-01-03,71.63064575195312,149.93902587890625,5.868346691131592,29.53400039672852,116.8674774169922,29.79763984680176,26.903240203857425,52.52135848999024,35.96958923339844,41.53187561035156,3234.85009765625
2020-01-06,72.20140838623047,150.3265838623047,5.892956733703613,30.1026668548584,116.7745132446289,29.754959106445312,26.868688583374023,52.92462921142578,35.896366119384766,41.44247817993164,3246.280029296875
2020-01-07,71.8618392944336,148.95594787597656,5.964301109313965,31.270666122436523,114.789306640625,29.55857276916504,26.77884292602539,52.49149703979492,35.56378555297852,40.981781005859375,3237.179931640625
2020-01-08,73.01782989501953,151.32855224609375,5.975486755371094,32.80933380126953,115.684814453125,29.857406616210938,26.993078231811523,51.69990158081055,35.44174575805664,41.05741500854492,3253.050048828125
2020-01-09,74.56880187988281,153.21910095214844,6.04111385345459,32.089332580566406,116.10716247558594,29.908641815185547,26.87560272216797,52.09569549560547,35.80788803100586,40.887203216552734,3274.699951171875
2020-01-10,74.73735809326172,152.5101318359375,6.073429584503174,31.87666702270508,114.94984436035156,29.661027908325195,27.29023551940918,51.63268661499024,35.50886917114258,40.98446273803711,3265.35009765625
2020-01-13,76.33409118652344,154.34396362304688,6.263845920562744,34.990665435791016,115.9043960571289,29.93424797058105,27.23495483398437,52.12556838989258,35.356319427490234,41.09563827514648,3288.1298828125
2020-01-14,75.30333709716797,153.25689697265625,6.147010803222656,35.861331939697266,117.2560577392578,30.156238555908203,27.69105339050293,51.67749786376953,35.447853088378906,41.01920700073242,3283.14990234375
2020-01-15,74.98062896728516,154.24942016601562,6.104503154754639,34.56666564941406,115.49894714355467,29.601261138916016,28.105690002441406,51.59535598754883,35.17325210571289,41.06089401245117,3289.2900390625
2020-01-16,75.91986846923828,157.07579040527344,6.188028335571289,34.232666015625,115.94666290283205,29.64395523071289,28.06422996520996,51.39372253417969,35.362422943115234,41.456912994384766,3316.81005859375
